declare             	1    	DECLARE             	NaN       	MODULEDECLARATION   	Yes	                    	
----                	1    	MODULEDECLARATION   	NaN       	MODULEDECLARATIONS  	No 	MODULEDECLARATION   	
module              	1    	MODULE              	NaN       	MODULEDECLARATION   	Yes	                    	
readArr             	1    	ID                  	NaN       	MODULEDECLARATION   	Yes	                    	
;                   	1    	SEMICOL             	NaN       	MODULEDECLARATION   	Yes	                    	
----                	1    	MODULEDECLARATIONS  	NaN       	PROGRAM             	No 	MODULEDECLARATIONS  	
----                	1    	EPS                 	NaN       	MODULEDECLARATIONS  	Yes	                    	
----                	1    	MODULEDECLARATIONS  	NaN       	MODULEDECLARATIONS  	No 	MODULEDECLARATIONS  	
----                	1    	PROGRAM             	NaN       	ROOT                	No 	PROGRAM             	
<<                  	3    	DEF                 	NaN       	MODULE1             	Yes	                    	
----                	1    	MODULE1             	NaN       	OTHERMODULES        	No 	MODULE1             	
module              	3    	MODULE              	NaN       	MODULE1             	Yes	                    	
arraySum            	3    	ID                  	NaN       	MODULE1             	Yes	                    	
>>                  	3    	ENDDEF              	NaN       	MODULE1             	Yes	                    	
takes               	4    	TAKES               	NaN       	MODULE1             	Yes	                    	
input               	4    	INPUT               	NaN       	MODULE1             	Yes	                    	
[                   	4    	SQBO                	NaN       	MODULE1             	Yes	                    	
list                	4    	ID                  	NaN       	INPUT_PLIST         	Yes	                    	
----                	1    	INPUT_PLIST         	NaN       	MODULE1             	No 	INPUT_PLIST         	
:                   	4    	COLON               	NaN       	INPUT_PLIST         	Yes	                    	
array               	4    	ARRAY               	NaN       	DATATYPE            	Yes	                    	
----                	1    	DATATYPE            	NaN       	INPUT_PLIST         	No 	DATATYPE            	
[                   	4    	SQBO                	NaN       	DATATYPE            	Yes	                    	
1                   	4    	NUM                 	1         	INDEX               	Yes	                    	
----                	1    	INDEX               	NaN       	RANGE_ARRAYS        	No 	INDEX               	
----                	1    	RANGE_ARRAYS        	NaN       	DATATYPE            	No 	RANGE_ARRAYS        	
